검사분류코드,검사분류명,검사항목코드,검사항목명,참고치,단위,기본검체,검체용기 이미지,검체용기,주의사항,시행일,접수마감시간,보고소요시간,검사방법,검사의의,비고,동의어,오더가능여부,시행여부
M32,수혈혈액요청,M3212,Frozen plasma (320ml),,,,이미지,"융해 후 3시간 이내 사용, 지체될 경우 냉장보관 실제용량: 120 mL 이상 (평균 140-160 mL)",보존온도 : -18℃ 이하 유효기간 : 채혈 후 1년,예약,,,참조: 수혈지침서 10th,참조: 수혈지침서 10th,FP 320 동결혈장,,예,시행중
M32,수혈혈액요청,M3252,Frozen plasma (400ml),,,,이미지,"융해 후 3시간 이내 사용, 지체될 경우 냉장보관 실제용량: 145 mL 이상 (평균 170 mL)",보존온도 : -18℃ 이하 유효기간 : 채혈 후 1년,예약,,,참조: 수혈지침서 10th,참조: 수혈지침서 10th,FP 400 동결혈장,,예,시행중
L37,특수화학검사,L3762,Fructose (semen),> 315,mg/dL,semen 0.5mL 이상,이미지,,검체 즉시 접수 또는 검체 접수 지연 시 냉동 보관,목(전날 접수까지),오후4시,목6시,Spectrophotometry,"Congenital absence of vas deferens, congenital or acquired blocked ejaculatory ducts 확인",,,예,시행중
L52,"호르몬,종양표지자검사",L5206,FSH(진검시행),Males:0.95-11.95 F: normal menstrualing female Follicular phase:3.03-8.08 Mid-cycle peak: 2.55-16.69 Luteal phase: 1.38-5.47 Post menopausal Female: 26.72-133.41,mIU/mL,SST blood 3 mL,이미지,,,(암병원)월-금/(소아)매일 24시간시행,(암병원)오후4시반/(소아)24시간,접수후 2시간 이내,CMIA(Chemiluminescent Microparticle Immuno Assay),"감소된 경우는 남녀 모두 불임의 원인. 낮은 경우는 2차생식선기능저하상태,신경성식욕부진,범하수체저하증,시상하부병소의 원인. 높은 경우는 1차생식선 기능저하증, 난소 파손,조숙한 사춘기의 환자,폐경기의 여자,고환파괴,볼거리 고환염,고환부전증의 남자.",[2009.4.27]소아진단검사의학과 24시간 신속검사 시행 [2011.6.13]종양진검 검사시행 [2012.3.26]참고치변경 기존 변경 Males :1.37~13.58 Males:0.95-11.95 Normally Menstruating Females F: normal menstrualing female Foll,"Follicule stimulating hormone, 여포자극호르몬",예,시행중
L25,분자유전학,L25418,"FSHD, D4Z4 (PFGE, Southern)",Negative,,EDTA blood 20 mL,이미지,,*유전자검사 동의서 *1일내 실온 보관 및 운송,월-토,"월-금(오후5시),토(오후12시30분)",12주,"PFGE, Southern blot, Methylation analysis","1. 유전자:D4Z4 [4q35] 2. 분자진단검사: 상기유전자의 repeat array 크기와 haplotype을 pulse-field gel electrophoresis로 확인하며 필요시 hypomethylation 여부를 확인함 3. 관련질환: Facioscapulohumeral Muscular Dystrophy (FSHD) 4. 배경,의의: Facioscapulohumeral Muscular Dystrophy는 4q35 부의의 D4Z4 repeat 수의 감소에 의해 발생하는 것으로 알려져 있어 정상인에서는 11-100 repeat을 보이는 반면, 10개 이하로 감소하는 경우 질환과 연관됨. PFGE 방법을 통해 permissive haplotype(4qA)을 갖는 allele의 크기가 40 kb 이하인 경우repeat contraction이 있다고 판단하여FSHD를 진단함. - D4Z4 repeats 11-100: Normal - D4Z4 repeats <10 (<-40kb) : FSHD Permissive haplotype에서 repeat contraction이 없는 경우 연구적으로 methylation analysis 시행하여 hypomethylation 여부를 확인할 수 있음.",[2012.11.26] 신규검사 OPEN,,예,시행중
L51,혈청검사,L5108,FTA-ABS,Non-reactive,,SST blood 4 mL,이미지,SST 5mL,,수,월~금 : 오후 5시 30분,: 오후 12시 30분,수요일 10시까지 접수된 검체 목요일 1시 보고,Indirect immunofluorescence (IIF),"FTA-ABS가 양성인 경우 현재 매독균에 대한 항체가 존재함을 의미하며 높은 특이성으로 인해 confirmatory test로 사용하나 매독 2기 이후에도 양성일 수 있으므로 해석에 주의를 해야 한다 # 검사결과 보고: Nonreactive, Minimally reactive, Reactive 1) Reactive로 판정되면 환자 혈청내에 매독균에 대한 항체가 있다고 판단할 수 있다. 2) Minimally reactive로 보고되는 환자에서 임상적으로 매독 감염의 과거력이나 임상적인 증거가 없으면 그 결과는 equivocal로 간주하여 1-2주 후에 다시 채혈한 검체로 검사를 의뢰하여 확인하도록 한다. 3) Beaded fluorescence는 활동성 루푸스나 다른 자가면역질환에서 나타날 수 있다. 4) FTA-ABS는 매독 감염에 대한 가장 좋은 확인검사 방법으로 예민도도 가장 높다. 1기 매독에서는 84%, 2기 매독에서는 100%, 후기 매독에서는 약 96%의 양성율을 나타내며 매독 감염이 된 환자의 약 84%에서 일생 지속된다. 5) FTA-ABS는 특이도가 높은 검사이지만 일반 인구의 약 1%에서(특히 고연령군에서) 위양성 결과를 보인다. 위양성 반응은 흔히 일시적이며 그 원인을 잘 모르나 루푸스(전신성, Discoid, 약물유발성)과의 연관성은 잘 알려져 있다.",,"매독, STS, syphilis",예
L71,외주검사,L7203,FTA-ABS IgM 19S(외주),남 참고치 : Non-Reactive~ Non-Reactive 여 참고치 : Non-Reactive~ Non-Reactive,Index,Serum 4 ml,이미지,14. Serum-4.0,냉장,월-금,검사 시행일 전날 오후 3시,3일,IFA,"선청성 매독의 진단에 이용되고 매독의 선별검사로는 부적합하다. 약 35% 에서 가음성 소견 가능, 자가항체에 의한 가양성이 가능하다.","녹십자의뢰 외주검사 (☏.578-0131) [2007.12.20 접수분] 결과보고 방법 변경 변경전: Negative ＜ Ab Index 1.1 (Serum) 변경후: Non-Reactive [2008.10.30 접수분]검사일변경-검사일확대 변경전:월,목 변경후:월,수,금 [2009.2.16 접수분]검사일변경-검사일확대 변경전:월,수,금 변경후:월~금",,예,시행중
L25,분자유전학,L25168,"Fungal Identification, rDNA sequencing",Negative,,"Cultured colony, others",이미지,,직접검체로는 검사 불가능,월-토,"월-금(오후5시),토(오후12시30분)",2주(추가검사 필요시 3주),"PCR, sequencing","1. 유전자와 검사: 진균의 LSU rDNA 유전자의 염기서열을 검사함. 2. 관련 질환과 의의: 진균 유전자의 LSU rRNA, D2 region 를 증폭한 후 염기서열을 분석하여 균종을 동정함. 감염환자에서 분리된 원인 미생물이 통상적인 방법으로 동정이 어렵거나 불가능할 때 이 분자진단검사를 통해 진단이 가능함.",,"ribosomal RNA, 진균 동정",예,시행중
L71,외주검사,L74815,FX5E-Food mix(ImmunoCAP)(외주),0 : 0.35이하 1 : 0.35-0.69 2 : 0.70-3.49 3 : 3.50-17.49 4 : 17.50-49.99 5 : 50.00-99.99 6 : 100 이상,KUA/L,Serum 4 ml,이미지,14. Serum-4.0,냉장,월-금,검사 시행일 전날 오전 11시,3일,FEIA,"알레르기 유발원의 종류를 확인하고 향후 알레르기를 일으키거나 악화될 위험도를 예견하고, 치료를 시작할 시점을 결정합니다.",[2012.3.21] SCL 위탁검사- 신규등록,,예,시행중
L70,혈액은행검사,L7066,Fya antigen,,,6 mL 용 EDTA blood,이미지,,채혈즉시 접수,월-금,오후 12:00,1일,시험관법,Duffy 혈액형군 중 Fya 항원의 존재 여부를 확인하는 검사이다.,,Fya 항원검사,예,시행중
L70,혈액은행검사,L7067,Fyb antigen,,,6 mL 용 EDTA blood,이미지,,채혈즉시 접수,월-금,오후 12:00,1일,시험관법,Duffy 혈액형군 중 Fyb 항원의 존재 여부를 확인하는 검사이다.,,Fyb 항원검사,예,시행중
L72,분당의뢰검사,L3828,Gal-1-P (Galactosemia)(외주),별지보고서 참조,,Whole blood: 5.0,이미지,Heparin tube,냉장,매일,매일 15:30,14일후,Enzyme reaction- LC MS/MS,"갈락토스를 글루코오스로 분해하는 데 관여하는 효소들의 결핍으로 인해 체내에 갈락토스와 그 대사산물인 galactose-1-phosphate (Gal-1-P)가 축적되어 신장, 간, 뇌에 이상이 생기게 된다.",,,예,시행중
L72,분당의뢰검사,L3829,Gal-1-P UT (Galactosemia)(외주),별지보고서 참조,,Heparin PB 10 ml,이미지,27. Heparin 최소 10ml,"월-금 오전 10시 이전 채혈, 최소 10ml이상 채혈 월-금 11시 접수마감 (마감이후 채혈검체 보관 및 검사불가)",월~금,검사 시행일 전날 오전 11시,21일,RI,"Galactose-1-phosphate uridyltransferase 결핍증이 바로 classic galactosemia(갈락토스혈증)로 발병 빈도 는 인구 6만명당 1명으로 보고되고 있다. 효소의 장애로 갈락토스와 galactose-1-phosphate 가 체내에 축적 되는 상염색체 열성 유전으로 갈락토스혈증 I형이라고 부르며, 중요한 증상으로는 황달, 간종대, 구토, 저 혈당, 경련 발작, 늘어짐, 보챔, 잘 먹지 못함, 체중이 잘 늘지 않음, 아미노산뇨증, 백내장, 간 기능 악화, 간경변증, 복수, 비종대 및 지능저하 등이 있다. 대장균에 의한 패혈증이 잘 동반되며, 갈락토스혈증의 진 단보다 패혈증의 진단이 먼저 내려지는 경우가 많으므로 주의를 요한다. 신생아 집단 검진이 가능하여 조기 에 진단, 치료되고 있어 예후가 많이 좋아지고 있으며, 식사에서 갈락토스를 제거하면 성장 장애, 신 기능, 간 기능 등이 좋아지고, 백내장도 좋아진다. 그러나 장기적으로 추적 관찰해 보면 여성의 경우 난소기능부 전으로 인하여 1차성 또는 2차성 무월경증이 오며, 발달 장애, 학업 성취의 지연이 있고 이는 나이가 들면 서 심해진다.",,UT,예,시행중
L72,분당의뢰검사,L3807,Galactokinase (Galactosemia)(외주),별지보고서 참조,,Heparin PB 10 ml,이미지,27. Heparin 최소 10ml,"월-금 오전 10시 이전 채혈, 최소 10ml이상 채혈 월-금 11시 접수마감 (마감이후 채혈검체 보관 및 검사불가)",월~금,검사 시행일 전날 오전 11시,21일,RI,,,GK,예,시행중
L72,분당의뢰검사,L3810,Galactosemia confirm,별지보고서 참조,,Heparin PB 10 ml,이미지,27. Heparin 최소 10ml,"월-금 오전 10시 이전 채혈, 최소 10ml이상 채혈 월-금 11시 접수마감 (마감이후 채혈검체 보관 및 검사불가)",월~금,검사 시행일 전날 오전 11시,21일,RI,"갈락토스의 대사에 관여하는 세가지의 효소들(Galactokinase, Galactose-1-phosphate uridyltransferase, uridyldiphosphate-galactose-4-epimerase)과 그 대사산물인 galactose-1-phosphate를 동시에 측정하여 갈 락토스혈증의 원인을 밝힌다.",,,예,시행중
L25,분자유전학,L25328,"Galactosemia type II, GALK1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: GALK1 [galactokinase 1 (autosomal recessive); 17q24; GeneID: 2584] 2. 분자진단검사: 상기유전자의 exons 1-8의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Galactosemia type II, GALK deficiency 4. 배경, 의의:GALK deficiency (galactosemia type II)는 상염색체 열성으로 유전되는 선천성대사이상질환임. GALK deficiency는 생후 galactose가 증가하며 galactouria가 나타나고, 생후 한달 이내에 백내장이 발생하며 일부에서 정신지체를 유발함. GALK deficiency의 원인 유전자인 GALK1 유전자의 8개 전체 exon을 염기서열을 분석할 경우, 가족성 환자와 가족 내 다른 환자가 없는 경우에 환자에서 원인 돌연변이가 검출되어 확진이 가능함.",[2010.11.3] 신설,,예,시행중
L25,분자유전학,L25329,"Galactosemia, GALE sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: GALE [UDP-galactose-4-epimerase (autosomal recessive); 1p36-p35; GeneID: 2582] 2. 분자진단검사: 상기유전자의 exons 1-13의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Galactosemia, GALE deficiency 4. 배경, 의의:GALE deficiency는 상염색체 열성으로 유전되는 선천성대사이상질환임. GALE deficiency는 경한 경우 뚜렷한 증상이 없으나 광범위한 결핍이 있는 경우 vomiting, jaundice, hepatomegaly 등의 GALT 유사한 증상을 나타냄. GALE deficiency의 원인 유전자인 GALE 유전자의 13개 전체 exon을 염기서열을 분석할 경우, 가족성 환자와 가족 내 다른 환자가 없는 경우에 환자에서 원인 돌연변이가 검출되어 확진이 가능함.",[2010.11.3] 신설,,예,시행중
L71,외주검사,L74907,Ganglioside Ab IgM Panel (외주),-,-,Serum 4ml,이미지,14. Serum-4.0,-,월,검사 시행일 전날 오후 3시,3,ELISA,L74907 Ganglioside Ab IgM Panel (외주) 오더 시 보고되는 검사항목: L749071 Anti-GM1 IgM isotype L749072 Anti-GD1 B Ab IgM L749073 Anti-GQ1b Ab IgM **L7210 Anti-GM1 IgM isotype(외주) 오더코드는 개별오더가 필요할 때만 발행.,"Gangliosides 는 sialyated glycosphingolipids 계열로 구성되어 있다. Monosialogangliosides GM1, GM2, GM3에 대한 자가항체는 GD1a, GD1b, GD2, GD3, GT1a, GT1b, GQ1b 와 같은 polysialogangliosides 자가항체와 교차반응을 하며 이 교차반응의 pattern 이나 반응하는 범위 등이 Gullain-Barre syndrome, multiple sclerosis, motor neuron disease 및 기타 신경계 질환의 진단에 도움을 준다.",,아니오,시행중
L71,외주검사,L7205,Gastrin(외주),남 년도별 연령 : 0~999 참고치 : 13.0~115 여 년도별 연령 : 0~999 참고치 : 13.0~115,pg/ml,Serum 4 ml,이미지,14. Serum-4.0,냉동,"화, 목",검사 시행일 전날 오전 11시,3일,CLIA,"G세포에서 분비되는 peptide hormone으로 벽세포 자극하여 위산분비 촉진 ▲Zollinger-Ellison(Z-E)증후군, 상악동G세포 증식, 악성빈혈, 위축성 위염, 갈색세포종 ▼유문 전정부의 절제(위 전체도 포함), 특발성 glucagon 결손증",녹십자의뢰 외주검사 (☏.578-0131) [2015.01.30]참고치변경:시약변경 [2015.11.23]씨젠의료재단으로 위탁처 변경,,예,시행중
L25,분자유전학,L25359,"Gaucher disease, GBA sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing","1. 유전자: GBA [glucosidase, beta, acid; 1q21; Gene ID 2629] 2. 분자진단검사: 상기 유전자의 exons 1-12의 5'UTR, coding region과 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Gaucher disease 4. 배경, 의의:Gaucher disease (GD) 는 주산기 사망부터 무증상까지 다양한 임상상을 나타내는 상염색체 열성으로 유전되는 유전질환이다. Gaucher disease는 GBA 유전자의 돌연변이에 의한 Glucocerebrosidase(Glucosylceramidase) deficiency에 의해 발생하며, 임상상에 따라 Type 1, 2, 3 그리고 perinatal lethal type, cardiovascular type으로 구분된다. 본 검사는 GBA 유전자의 전체 coding exons을 염기서열검사법으로 검사하여 Gaucher disease 환자의 약 99%에서 mutation을 검출하여 확진이 가능하다. 또한 이 검사를 통해 질환이 의심되는 가족성 환자와 산발성 환자에서 확진이 가능할뿐만 아니라 돌연변이가 발견되는 가족에서 산전 진단도 가능하다.",[2011.1.21]신규등록,,예,시행중
L71,외주검사,L7129,GBM Ab,남 참고치 : Negative:<7 Equivocal:7~10 Positive:>10 ~ Negative:<7 Equivocal:7~10 Positive:>10 여 참고치 : Negative:<7 Equivocal:7~10 Positive:>10 ~ Negative:<7 Equivocal:7~10 Positive:>10,U/ml,Serum 4 ml,이미지,14. Serum-4.0,냉장,월-금,검사 시행일 전날 오후 3시,3일,EIA,사구체 기저막에 대한 자가항체로 glomerular basement membrane 에 침착하여 신장염을 유발한다. 고역가는 Goodpasture's disease나 Anti-GBM 신증을 의미한다.,"녹십자의뢰 외주검사 (☏.578-0131) ================================ [2013.2.13]참고치,단위 변경 기존 : Negative(Below 5.0 EU/mL) 변경 : Negative<1.0 AI, Positive >=1.0 AI ================================ [2015.01.02]검사방법,참고치,단위 변경 변경:Negative:<7 U/mL Equivocal:7~10 U/mL Positive:>10 U/mL",,예,시행중
L71,외주검사,L7206,GD1 B Ab IgG(외주),Negative : < 30.0 Borderline: 30 - 50 Positive : >50.0,%,Serum: 0.5,이미지,SST,냉동,월,오후 3:30,1일,ELSIA,"Gangliosides 는 sialyated glycosphingolipids 계열로 구성되어 있다. Monosialogangliosides GM1, GM2, GM3 에 대한 자가항체는 GD1a, GD1b, GD2, GD3, GT1a, GT1b, GQ1b 와 같은 polysialogangliosides 자가항체와 교차반응을 하며 이 교차반응의 pattern 이나 반응하는 범위 등이 Gullain-Barre syndrome, multiple sclerosis, motor neuron disease 및 기타 신경계 질환의 진단에 도움을 준다.","녹십자의뢰 외주검사 (☏.578-0131) 참고치변경(2002.8.21): Below 1,000 BTU -> Negative : < 20, Borderline: 20~25, Positive : > 25 ================================================================================================= [2013.4.2] 검사중단-수가삭제",Ganglioside Ab IgG panel,예,시행중
L71,외주검사,L7207,GD1 B Ab IgM(외주),Negative : < 30.0 Borderline: 30 - 50 Positive : >50.0,%,Serum: 0.5,이미지,SST,냉동,월,오후 3:30,1일,ELSIA,"Gangliosides 는 sialyated glycosphingolipids 계열로 구성되어 있다. Monosialogangliosides GM1, GM2, GM3에 대한 자가항체는 GD1a, GD1b, GD2, GD3, GT1a, GT1b, GQ1b 와 같은 polysialogangliosides 자가항체와 교차반응을 하며 이 교차반응의 pattern 이나 반응하는 범위 등이 Gullain-Barre syndrome, multiple sclerosis, motor neuron disease 및 기타 신경계 질환의 진단에 도움을 준다.","녹십자의뢰 외주검사 (☏.578-0131) 참고치변경(2002.8.21): Below 1,000 BTU -> Negative : < 20, Borderline: 20~25, Positive : > 25",Ganglioside Ab IgM panel,예,시행중
L34,약물및중금속,L3412,Gentamicin 농도 (serum level),Peak 5~10 ug/mL Trough < 1ug/mL,ug/mL,1SRM,이미지,"채혈시간, SSTblood5mL","1) 접수마감 안내 (휴일시행안함) 월-금: 16시 토: 11시 2) 채혈시각, 날짜 기재 3) 휴일 시행 안함","월-금,토",1) 접수마감 안내 (휴일시행안함) 월-금: 16시 토: 11시,1,CMIA,약물의 치료효과 평가,"[2012.12.4] 참고치변경 기존:5~10 ug/mL 변경: Peak 5~10 ug/mL, Trough <1 ug/mL",,예,시행중
L34,약물및중금속,L344612,Gentamicin TDM (자문),,,,이미지,,,"월-금,토","오후4시,오전11시","당일,당일",,약물의 치료효과 평가,,,예,시행중
L34,약물및중금속,L3455,Gentamicin TDM Panel(농도+자문),Peak 5~10 ug/mL Trough < 1ug/mL TEXT보고,,2SRM,이미지,"채혈시간, SSTblood5mL","1) 접수마감 안내 (휴일시행안함) 월-금: 16시 토: 11시 2) 채혈시각, 날짜 기재 3) 휴일 시행 안함","월-금,토",1) 접수마감 안내 (휴일시행안함) 월-금: 16시 토: 11시,1,,약물의 치료효과 평가,,,예,시행중
L30,일반화학(1),L3016,GGT,남자: 11 - 63,8 - 35,IU/L,SST blood,이미지,SST blood 5mL,,(본원) 매일,매일,월-금,(본원) 24시간 검사 가능,24시간 검사 가능,월-금 : 17시까지 접수,(본원) 접수 후 2시간 이내,접수 후 2시간 이내
L71,외주검사,L74909,GH,M: 1-7 day: 1.18 - 27.00 8-15 day: 0.69 - 17.30 1-3 yr: 0.43 - 2.40 4-6 yr: 0.09 - 2.50 7-8 yr: 0.15 - 3.20 9-10 yr: 0.09 - 1.95 11 yr: 0.08 - 4.70 12 yr: 0.12 - 8.90 13 yr: 0.10 - 7.90 14 yr: 0.09 - 7.10 15 yr: 0.10 - 7.80 16 yr: 0.08 - 11.40 17 yr: 0.22 - 12.20 18-19 yr: 0.97 - 4.70 Adult ≤ 3.00 F: 1-7 day: 2.40 - 24.00 8-15 day: 1.07 - 17.60 1-3 yr: 0.50 - 3.50 4-6 yr: 0.10 - 2.20 7-8 yr: 0.16 - 5.40 9-10 yr: 0.08 - 3.10 11 yr: 0.12 - 6.90 12 yr: 0.14 - 11.20 13 yr: 0.21 - 17.80 14 yr: 0.14 - 9.90 15 yr: 0.24 - 10.00 16 yr: 0.26 - 11.70 17 yr: 0.30 - 10.80 18-19 yr: 0.24 - 4.30 Adult ≤ 8.00,ng/mL,Serum 4 ml,이미지,14. Serum-4.0,,"화, 목",검사 시행일 전날 오전 11시,3일,CLIA,"시상하부, 뇌하수체 관계 질환이 의심될 때 검사",2018.06.01 처방오픈 예정,"GH, HGH",아니오,시행중
L25,분자유전학,L25422,"Gitelman syndrome, SLC12A3 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: SLC12A3 [solute carrier family 12, member 3; 16q13; GeneID: 6559] 2. 분자진단검사: 상기유전자의 exons 1-26의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Gitelman syndrome 4. 배경, 의의 SLC12A3 유전자는 신장에서 sodium의 재흡수에 매우 중요한 기능을 갖는 thiazide-sensitive Na-Cl cotransporter를 coding하고 있음. Gitelman syndrome은 SLC12A3 유전자 돌연변이에 의해 발생하며 hypocalciuria, hypomagnesemia을 동반한 hypokalemic metabolic alkalosis가 주증상임. Gitelman syndrome은 주로 상염색체 열성으로 유전됨. 본 검사는 Gitelman syndrome이 의심되는 가족성 환자와 산발성 환자에서 돌연변이를 검출하여 질환을 확진 할 수 있음.",[2012.12.17] 신규검사등록,,예,시행중
L71,외주검사,L7208,Glucagon(외주),남 년도별 연령 : 0~999 참고치 : 25.0~250.0 여 년도별 연령 : 0~999 참고치 : 25.0~250.0,pg/ml,EDTA BLD 4 ml,이미지,20. EDTA 4.0,냉동,월,검사 시행일 전날 오후 3시,4일,RIA,"글루카곤종, 선단비대증, 쿠싱증후군, 갈색세포종에서 증가하며, 특발성 클루카곤 결핍증, 뇌하수체 부전증,만성췌장염시 감소한다.",녹십자의뢰 외주검사 (☏.578-0131) [2015.01.30]참고치 변경:시약변경,,예,시행중
L30,일반화학(1),L3005,Glucose,70 - 110,mg/dL,SST blood,이미지,SST blood 5mL,8시간 공복채혈,(본원) 매일,매일,월-금,(본원) 24시간 검사 가능,24시간 검사 가능,월-금 : 17시까지 접수,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고
L30,일반화학(1),L3094,Glucose (Body Fluid Except CSF),,mg/dL,SST Body Fluid,이미지,SST Body Fluid 5mL,,(본원) 매일,매일,(본원) 24시간 검사 가능,24시간 검사 가능,(본원) 접수 후 2시간 이내,접수 후 2시간 이내,Glucose 검사방법 참조,,"시행처: 본원자동화검사실, 소아진단검사의학과"
L72,분당의뢰검사,L7459,Glucose 6-phosphate Dehyrogenase(외주),Negative,,Heparin PB 10 ml,이미지,27. Heparin 최소 10ml,"월-금 오전 10시 이전 채혈, 최소 10ml이상 채혈 월-금 11시 접수마감 (마감이후 채혈검체 보관 및 검사불가)",월~금,검사 시행일 전날 오전 11시,21일,LC MS/MS,용혈성빈혈이 의심될때 시행.,[2013.11.1]신규코드등록,,예,시행중
L31,일반화학(2),L3108,Glucose quan. (24hrs Urine),0.5-1.5,g/d,24hr Urine,이미지,Medical Tube Urine 10mL,24시간 Volume을 적어주세요.,(본원) 월-토,매일,(본원) 월-금 : 16시까지 접수 / 토요일 : 11시까지 접수,24시간 검사 가능,(본원) 접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고,접수 후 2시간 이내,L-30과 동일,"당뇨, 간질환, 일부 내분비질환의 진단 및 모니터링",
L31,일반화학(2),L31080,Glucose quan. (random urine),,mg/dL,Random Urine,이미지,Medical Tube Urine 10mL,,(본원) 월-토,매일,(본원) 월-금 : 16시까지 접수 / 토요일 : 11시까지 접수,24시간 검사 가능,(본원) 접수마감시간 이내 검체 : 당일 2시간 이내 / 접수마감시간 이후 검체 : 익일 결과 보고,접수 후 2시간 이내,L-30과 동일,"당뇨, 간질환, 일부 내분비질환의 진단 및 모니터링",
L30,일반화학(1),L3073,Glycoalbumin,11 - 16,%,SST blood,이미지,SST blood 5ml,,,,,,"Glycoalbumin 은 Glucose가 Albumin과 결합하여 생성된 당화알부민으로 당뇨환자의 당조절을 위해 사용 되는 표지자이다. 반감기가 HbA1c (2 - 3개월)보다 상당히 짧기 때문에 (15일 - 20일) 당뇨치료의 시작,치료법 변경 시 모니터링에 적합하다.",[2013.12.18] 신규검사 OPEN,검사 중단,"외주 전환 (L74364 로 오더발행요망, 서울의과학연구소로 위탁전환)","GA, 당알부민"
L25,분자유전학,L25204,"Glycogen storage disease type 3, AGL sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, sequencing",". 유전자: AGL [amylo-1, 6-glucosidase, 4-alpha-glucanotransferase; 1p21; GeneID: 178] . 분자진단검사: 상기 유전자의 exons 1-35 의 5'UTR, coding region 과 그 flanking region 의 염기서열을 검사함. . 관련 질환: 당원축적병 3형 (Glycogen storage disease type III; GSD-III) . 배경, 의의: 당원축적병 3형은 glycogen debranching enzyme (GDE)의 결핍에 의해 발생한다. 임상적으로 이 효소가 결핍된 장기에 따라 여러 증상을 유발하는데, 3a 형은 간과 근육 등이 영향을 받고 전체의 85%를 차지하며, 3b형은 간만 영향을 받고 전체의 15% 정도를 차지한다. 때로 심근병증 등을 나타내기도 한다. 당원축적병 3형은 상염색체열성으로 유전하며 AGL 유전자의 돌연변이에 의해 발생한다. 이 돌연변이 검사를 통해 조기 진단 및 유전상담 등이 가능하다.",,,예,시행중
L25,분자유전학,L25463,"Glycogen storage disease type 4, GBE1 gene, sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: GBE1 [Glucan(1,4-alpha-) branching enzyme (glycogen branching enzyme); 3p12.3; GeneID 2632] 2. 분자진단검사: 상기 유전자의 exons 1-16의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Glycogen storage disease type 4 4. 배경, 의의 Glycogen storage disease type 4은 alpha-1,4-glucan branching enzyme의 활성 저하로 인해 글리코겐이 간, 근육 등에 축적되는 염색체열성 유전병으로, 그 아류형에 따라 태아의 경우는 움직임이 적고 양수과다증등의 증상, 신생아에서는 근긴장저하나 호흡 곤란, 유아나 아이들의 경우에는 성장저하, 간비대, 간기능장 애 등이 나타나는 등 발병 나이와 증상의 정도, 임상경과는 다양하다.",[2014.1.29] 신규검사등록,,예,시행중
L25,분자유전학,L25453,"Glycogen Storage Disease Type V (GSDV, McArdle disease), PYGM sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",8주(추가검사 필요시 10주),"PCR, Sequencing","1. 유전자: PYGM [myophosphorylase; 11q13.1; GeneID 19309] 2. 분자진단검사: 상기유전자의 exons 1-20의 5'UTR과 coding region 및 그 flanking region의 염기서열을 검사함. 3. 관련 질환: Glycogen Storage Disease Type V (GSDV, McArdle disease) 4. 배경, 의의 Glycogen Storage Disease Type V (GSDV, McArdle disease)는 상염색체 열성으로 유전되는 대사성 근질환으로 특징적인 임상증상, 각종 검사 결과(혈청 creatine kinase 증가, 병리학적 검사 등)로 의심이 가능하며 확진은 PYGM gene의 분자검사로결정된다. 본 검사로 질환이 의심되는 환자에서 유전자 검사를 통한 확진이 가능하며, 돌연변이가 발견되는 가족에서 산전 진단도 가능하다.",[2013.10.16]신규검사등록,,예,시행중
